DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
1950-12-14,Andy Phillip,PHW,17,10.0,10.0,,,W,HOME,FTW,PHW,39.947368,-75.195043
1951-02-06,Andy Phillip,PHW,14,15.0,15.0,,,W,HOME,TRI,PHW,39.947368,-75.195043
1951-02-08,Andy Phillip,PHW,11,10.0,12.0,,,W,HOME,BLB,PHW,39.947368,-75.195043
1951-03-04,Andy Phillip,PHW,18,11.0,10.0,,,L,AWAY,SYR,SYR,43.044722,-76.148333
1951-03-13,Bob Cousy,BOS,32,,,,,L,HOME,ROC,BOS,42.366303,-71.062228
1951-03-15,Andy Phillip,PHW,10,11.0,15.0,,,W,HOME,FTW,PHW,39.947368,-75.195043
1951-03-18,Bob Cousy,BOS,28,12.0,,,,L,AWAY,SYR,SYR,43.044722,-76.148333
1951-11-16,Andy Phillip,PHW,14,10.0,12.0,,,L,HOME,SYR,PHW,39.947368,-75.195043
1951-11-23,Bob Cousy,BOS,18,10.0,12.0,,,W,AWAY,PHW,PHW,39.947368,-75.195043
1951-12-02,Bob Cousy,BOS,21,10.0,13.0,,,W,HOME,BLB,BOS,42.366303,-71.062228
1952-01-18,Andy Phillip,PHW,14,10.0,11.0,,,W,HOME,INO,PHW,39.947368,-75.195043
1952-01-27,Bob Cousy,BOS,25,13.0,,,,L,AWAY,SYR,SYR,43.044722,-76.148333
1952-02-19,Andy Phillip,PHW,10,12.0,15.0,,,W,HOME,FTW,PHW,39.947368,-75.195043
1952-02-27,Andy Phillip,PHW,19,15.0,13.0,,,W,HOME,INO,PHW,39.947368,-75.195043
1952-11-01,Andy Phillip,PHW,21,11.0,10.0,,,W,HOME,SYR,PHW,39.947368,-75.195043
1952-11-22,Bob Cousy,BOS,14,,10.0,,,W,HOME,INO,BOS,42.366303,-71.062228
1952-12-03,Bob Cousy,BOS,28,,10.0,,,L,HOME,MNL,BOS,42.366303,-71.062228
1952-12-11,Bob Cousy,BOS,9,12.0,13.0,,,W,N,BLB,BLB,39.313333,-76.647778
1953-02-04,Bob Cousy,BOS,14,,17.0,,,W,HOME,SYR,BOS,42.366303,-71.062228
1953-02-07,Bob Cousy,BOS,18,,14.0,,,W,AWAY,BLB,BLB,39.313333,-76.647778
1953-03-11,Bob Cousy,BOS,23,,13.0,,,W,HOME,FTW,BOS,42.366303,-71.062228
1953-11-24,Bob Cousy,BOS,24,12.0,10.0,,,L,N,NYK,NYK,40.750556,-73.993611
1954-11-30,Bob Cousy,BOS,34,10.0,12.0,,,W,AWAY,MLH,MLH,43.04222,-87.91694
1954-12-31,Bob Cousy,BOS,25,,15.0,,,W,N,PHW,PHW,39.947368,-75.195043
1955-02-11,Bob Cousy,BOS,33,11.0,11.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1955-02-13,Bob Cousy,BOS,31,10.0,10.0,,,L,HOME,NYK,BOS,42.366303,-71.062228
1955-12-06,Tom Gola,PHW,13,12.0,15.0,,,W,N,MNL,MNL,44.969,-93.274
1955-12-10,Bob Cousy,BOS,15,,17.0,,,W,HOME,MNL,BOS,42.366303,-71.062228
1956-01-03,Tom Gola,PHW,20,13.0,13.0,,,W,HOME,FTW,PHW,39.947368,-75.195043
1956-01-10,Tom Gola,PHW,11,10.0,13.0,,,W,HOME,STL,PHW,39.947368,-75.195043
1956-01-14,Maurice Stokes,ROC,26,38.0,12.0,,,W,HOME,SYR,ROC,43.17215,-77.63466
1956-01-15,Bob Cousy,BOS,20,10.0,11.0,,,L,HOME,NYK,BOS,42.366303,-71.062228
1956-01-28,Bob Cousy,BOS,29,,13.0,,,W,AWAY,ROC,ROC,43.17215,-77.63466
1956-01-29,Bob Cousy,BOS,29,10.0,14.0,,,W,HOME,ROC,BOS,42.366303,-71.062228
